experiment,population_size,mutation_probability,tournament_size,total_distance,imbalance,runtime
population_size,100,0.2,3,498.45792075362743,34.15438105321572,0.5950183868408203
population_size,300,0.2,3,506.65600429881675,32.77687308207182,1.16978120803833
population_size,500,0.2,3,478.3851906463578,38.98574501667313,1.9112865924835205
mutation_probability,300,0.1,3,490.81119208991663,37.09128250713195,1.1408412456512451
mutation_probability,300,0.2,3,478.3851906463578,38.98574501667312,1.2956163883209229
mutation_probability,300,0.4,3,478.3851906463578,38.98574501667312,1.205930233001709
tournament_size,300,0.2,2,484.17722346924444,37.64853620656265,1.132904291152954
tournament_size,300,0.2,3,498.45792075362743,34.15438105321572,1.2466027736663818
tournament_size,300,0.2,5,478.3851906463578,38.98574501667312,1.1415343284606934
